sipl,container,supplier,status,OF_status,CUSTOMS_status,DUTY_status,DRAYAGE_status,missing_categories,pending_categories,overall_status
170940,MSDU2926198,Qualita Granitos E Marmores Ltda,INTRANSIT,Pending,Complete,Complete,Pending,,"OF, DRAYAGE",Pending
170943,MSMU2078540,Granito Zucchi LTDA,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170944,FCIU4478472,Granito Zucchi LTDA,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170946,MEDU6027974,Mineral Stone Exportacao Ltda,INTRANSIT,Pending,Complete,Complete,Pending,,"OF, DRAYAGE",Pending
170978,SEGU2963797,Natural Stones S.R.L.,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170979,MSMU1056280,Bonotti,INTRANSIT,Pending,Complete,Pending,Pending,,"OF, DUTY, DRAYAGE",Pending
170979B,XHCU2466631,Bonotti,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
170979C,UETU3049557,Bonotti,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
170982,TGBU1100078,Viemme Marmi Srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170995,MEDU3110874,IL Fiorino Marmi SRL,INTRANSIT,Missing,Complete,Missing,Missing,"OF, DUTY, DRAYAGE",,Missing
171007,MSBU2891725,ANTOLINI LUIGI & C. S.P.A.,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171115,DFSU2940081,Bramagran,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171118,MSNU7395469,Florim Ceramiche Spa SB,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
